id_cliente,nome_cliente,email,saldo_da_conta,tem_cartao_credito,tem_seguro,tem_clube_livelo,bandeira_cartao,nome_cartao_credito,qto_tempo_sem_movimentar_conta,opt_in_out,idade,genero,profissao,renda_presumida,id_endereco,cep_num,cep_formatado,uf,cidade,bairro,tipo_logradouro,logradouro,latitude,longitude,h3_res6,h3_res8
1,Eduardo Ferreira,10354.3540@email.com,125395.5,Nao,Sim,Sim,null,null,109,Sim,67,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
2,Leonardo Moreira,10413.4130@email.com,93960.5,Sim,Sim,Sim,Mastercard,Infinite,28,Sim,66,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
3,Renata Carvalho,10594.5948@email.com,55192,Sim,Nao,Sim,Mastercard,Infinite,119,Sim,59,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
4,Pedro Ribeiro,10651.6512@email.com,64163,Sim,Sim,Sim,VISA,Gold,116,Nao,31,F,Prof Liberal,14000,4,20010030,20010-030,RJ,RIO DE JANEIRO,CENTRO,TRAVESSA,TINOCO,-24.8357715580161,-49.77048718008207,86a804777ffffff,88a804770bfffff
5,Jorge Santos,10818.8188@email.com,26971,Sim,Sim,Sim,VISA,Platinum,25,Sim,66,M,Funcionario Publico,20000,5,20010040,20010-040,RJ,RIO DE JANEIRO,CENTRO,TRAVESSA,TOCANTINS,-23.59342498162911,-46.401207629372315,86a81046fffffff,88a81046c3fffff
6,Maria Nascimento,11175.1756@email.com,85966.5,Sim,Nao,Sim,VISA,Platinum,139,Sim,41,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
7,Ana Nascimento,ana.6797@email.com,184160,Nao,Sim,Sim,null,null,69,Sim,37,M,Prof Liberal,12000,7,20010060,20010-060,RJ,RIO DE JANEIRO,CENTRO,RUA,VISCONDE DE ITABORAI,-24.963989107955424,-46.18450409982792,86a814c9fffffff,88a814c9c5fffff
8,Natalia Pereira,12145.1450@email.com,94039,Nao,Sim,Sim,null,null,42,Sim,75,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
9,Maria Martins,12759.7597@email.com,46301,Nao,Nao,Sim,null,null,55,Sim,42,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
10,Rafael Pereira,13666.6662@email.com,105778,Sim,Sim,Sim,Mastercard,DUX,112,Sim,52,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
11,Natalia Teixeira,14618.6187@email.com,161486,Sim,Sim,Sim,Mastercard,Platinum,75,Sim,58,M,Aposentado,null,null,null,null,null,null,null,null,null,null,null,null,null
12,Gabriela Melo,15481.4812@email.com,192748,Sim,Nao,Nao,VISA,Connect,51,Sim,78,F,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
13,Tatiana Almeida,15793.7938@email.com,173923,Nao,Sim,Sim,null,null,84,Sim,30,M,Aposentado,18000,13,20010120,20010-120,RJ,RIO DE JANEIRO,CENTRO,RUA,DO MERCADO,-23.615268885725186,-51.79399137787689,86a82a757ffffff,88a82a7559fffff
14,Beatriz Oliveira,15995.9959@email.com,148213.5,Sim,Nao,Sim,Mastercard,Platinum,143,Nao,19,M,Prof Liberal,6000,14,20010130,20010-130,RJ,RIO DE JANEIRO,CENTRO,RUA,DOS MERCADORES,-25.309762437508414,-50.97974329609552,86a8233b7ffffff,88a823386dfffff
15,Vanessa Ferreira,16153.1530@email.com,108503,Sim,Sim,Sim,VISA,DUX,1,Sim,77,F,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
16,Matheus Araujo,16832.8328@email.com,19538,Sim,Nao,Sim,VISA,Infinite,89,Sim,62,M,Autonomo,null,null,null,null,null,null,null,null,null,null,null,null,null
17,Larissa Moreira,17407.4070@email.com,198226,Nao,Nao,Nao,null,null,89,Sim,75,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
18,Denise Nascimento,17611.6115@email.com,139818.5,Sim,Sim,Sim,VISA,Gold,130,Sim,25,F,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
19,Natalia Oliveira,17637.6372@email.com,104859,Sim,Sim,Nao,Mastercard,Platinum,76,Nao,63,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
20,Rafael Martins,18058.0580@email.com,86726,Sim,Sim,Sim,Mastercard,Connect,38,Sim,40,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
21,Natalia Lima,18933.9336@email.com,207785.5,Nao,Sim,Sim,null,null,30,Sim,87,M,Estudante,null,null,null,null,null,null,null,null,null,null,null,null,null
22,Fernanda Martins,19420.4208@email.com,90043,Sim,Sim,Sim,Mastercard,DUX,100,Sim,84,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
23,Camila Carvalho,20737.7371@email.com,78145,Nao,Sim,Nao,null,null,101,Sim,56,M,Prof Liberal,null,null,null,null,null,null,null,null,null,null,null,null,null
24,Andre Ferreira,20872.8720@email.com,140513,Sim,Sim,Sim,Mastercard,Infinite,62,Sim,52,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
25,Isabela Ferreira,21494.4943@email.com,143437,Sim,Sim,Sim,Mastercard,DUX,26,Sim,58,M,Funcionario Publico,null,null,null,null,null,null,null,null,null,null,null,null,null
